Time,Gravity Acceleration,Angular Velocity,Linear Acceleration
13.44,"(9.76, -0.98, -0.22)","(0.04, -0.23, -0.15)","(-0.03, 5.41, 0.44)"
13.46,"(9.77, -0.85, -0.21)","(-0.38, -0.62, -0.19)","(-0.16, 4.41, 5.94)"
13.48,"(9.78, -0.76, -0.23)","(-0.96, -0.82, 0.04)","(-0.2, 1.33, -0.61)"
13.5,"(9.78, -0.72, -0.27)","(-1.13, -0.64, 0.26)","(-0.04, -0.54, -3.21)"
13.52,"(9.78, -0.73, -0.29)","(-0.6, -0.24, 0.2)","(0.24, -3.74, -4.24)"
13.54,"(9.78, -0.74, -0.31)","(-1.36, -0.4, 0.29)","(-0.11, 0.67, 1.37)"
13.56,"(9.77, -0.77, -0.33)","(-1.29, -0.32, 0.17)","(0.13, -2.34, -1.05)"
13.58,"(9.77, -0.81, -0.36)","(-1.34, -0.26, 0.01)","(0.19, -2.49, -1.57)"
13.6,"(9.77, -0.85, -0.4)","(-1.24, -0.2, 0.11)","(0.01, 0.67, -0.76)"
13.62,"(9.76, -0.88, -0.41)","(-0.49, -0.03, 0.06)","(0.02, -0.59, 0.06)"
13.64,"(9.75, -0.98, -0.42)","(-0.96, -0.08, 0.15)","(0.05, -2.74, 0.71)"
13.66,"(9.75, -0.99, -0.4)","(-0.57, 0.36, -0.2)","(0.17, 0.9, -4.01)"
13.68,"(9.76, -0.98, -0.35)","(-0.34, 0.67, -0.24)","(0.03, 1.63, -2.35)"
13.7,"(9.76, -0.96, -0.31)","(-0.01, 0.53, -0.08)","(-0.15, 1.91, 1.31)"
13.72,"(9.77, -0.9, -0.21)","(0.48, 1.39, -0.25)","(0.13, 0.6, -7.86)"
13.74,"(9.77, -0.84, -0.1)","(0.73, 1.61, -0.38)","(-0.2, -1.21, -1.75)"
13.76,"(9.77, -0.82, -0.11)","(0.55, 0.32, 0.37)","(-0.32, 5.99, 9.26)"
13.78,"(9.78, -0.82, -0.12)","(0.27, 0.15, 0.17)","(0.09, -3.1, 2.52)"
13.8,"(9.78, -0.81, -0.17)","(0.63, 0.1, 0.03)","(0.02, -1.74, -2.0)"
13.82,"(9.78, -0.8, -0.19)","(0.66, -0.02, -0.12)","(0.15, -2.24, 3.45)"
